"Source:","C:\Users\User\Desktop\Misc\Speaker\Discrete_Channel\Discrete_Channel.sch"
"Date:","11/7/2021 2:22:24 PM"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Note","Notes","Part"
"","","U2","LM4562","Amplifier_Operational:LM4562","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm4562.pdf","https://www.digikey.com/en/products/detail/texas-instruments/LM4562NA-NOPB/1217793","","LM4562NA/NOPB"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Note","Notes","Part"
"1","3","C1, C2, C17","680 uF","Device:CP1_Small","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1255.pdf","https://www.digikey.com/en/products/detail/EEU-FS1H681B/P122333CT-ND/7381332","","EEU-FS1H681B"
"2","7","C3, C4, C5, C7, C10, C11, C16","1 uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","https://www.digikey.com/en/products/detail/C0805C105M5PAC7800/399-C0805C105M5PAC7800CT-ND/12701548","","C0805C105M5PAC7800"
"3","6","C6, C8, C12, C13, C14, C15","100 nF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/charasheet/c3216c0g1h104j160aa.pdf","https://www.digikey.com/en/products/detail/C3216C0G1H104J160AA/445-7694-1-ND/2733766","","C3216C0G1H104J160AA"
"4","5","C9, C22, C23, C24, C25","33 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h333j125aa.pdf","https://www.digikey.com/en/products/detail/C2012C0G1H333J125AA/445-7523-1-ND/2733595","","C2012C0G1H333J125AA"
"5","2","C18, C19","330 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H331JX5","https://www.digikey.com/en/products/detail/ECH-U1H331JX5/PCF1322CT-ND/353794","","ECH-U1H331JX5"
"6","2","C20, C21","6.8 uF","Device:C_Small","Capacitor_THT:C_Rect_L31.5mm_W15.0mm_P27.50mm_MKS4","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_4.pdf","https://www.digikey.com/en/products/detail/MKP4D046806F00JSSD/1928-1535-ND/9370464","","MKP4D046806F00JSSD"
"7","4","C26, C27, C28, C29","220 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H221JX5","https://www.digikey.com/en/products/detail/ECH-U1H221JX5/PCF1320CT-ND/353792","","ECH-U1H221JX5"
"8","2","C30, C31","680 nF","Device:C_Small","Large_Capacitor:C_2824","https://www.wima.de/wp-content/uploads/media/e_WIMA_SMD_PPS.pdf","https://www.digikey.com/en/products/detail/wima/SMDIC03680TB00MQ00/9449100","","SMDIC03680TB00MQ00"
"9","4","C32, C33, C34, C35","2.2 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H222GX5","https://www.digikey.com/product-detail/en/ECH-U1H222GX5/PCF1300CT-ND/353772","","ECH-U1H222GX5"
"10","2","C36, C37","220 nF","Device:C_Small","Capacitor_SMD:C_2220_5650Metric_Pad1.97x5.40mm_HandSolder","https://www.wima.de/wp-content/uploads/media/e_WIMA_SMD_PPS.pdf","https://www.digikey.com/en/products/detail/SMDID03220QB00MP00/1928-1907-1-ND/9449183","","SMDID03220QB00MP00"
"11","2","C38, C39","10 nF","Device:C_Small","Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder","https://www.wima.de/wp-content/uploads/media/e_WIMA_SMD_PPS.pdf","https://www.digikey.com/en/products/detail/SMDID02100KA00MP00/1928-1903-1-ND/9449179","","SMDID02100KA00MP00"
"12","2","J1, J3","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","",""
"13","1","J2","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","",""
"14","1","J4","Banna Jack","Connector:Conn_01x03_Female","Connector:Banana_Jack_3Pin","~","","",""
